,Fid,ALE,Fv,rFv,tFid
47724,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6102469631223055,-0.1015821355736086,-0.0005984956138625,Firmicutes bacterium CAG 94
47725,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.610248710415991,-0.1007932243152759,-0.0005938475532053,Firmicutes bacterium CAG 94
47726,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6102493887627352,-0.100482689145772,-0.0005920179604737,Firmicutes bacterium CAG 94
47727,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6102520854471871,-0.0994616950867813,-0.0005860025281082,Firmicutes bacterium CAG 94
47728,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6126878767621446,-0.0964452080532812,-0.0005682301683461,Firmicutes bacterium CAG 94
47729,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6182467792963553,-0.0951692765386012,-0.0005607127105685,Firmicutes bacterium CAG 94
47730,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6182496161157154,-0.0937996343896824,-0.0005526431340228,Firmicutes bacterium CAG 94
47731,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6193668094393499,-0.0915480906954852,-0.0005393776221512,Firmicutes bacterium CAG 94
47732,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6246476453909688,-0.09052022059415,-0.0005333216779264,Firmicutes bacterium CAG 94
47733,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6253967425800062,-0.08703642462569,-0.0005127960550406,Firmicutes bacterium CAG 94
47734,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6253995168411886,-0.0858649434685296,-0.0005058939916973,Firmicutes bacterium CAG 94
47735,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6260203045268318,-0.0844894075690299,-0.0004977896907007,Firmicutes bacterium CAG 94
47736,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6248220499048838,-0.0816979963216086,-0.000481343419133,Firmicutes bacterium CAG 94
47737,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6248235275349874,-0.0810674959816712,-0.0004776286745487,Firmicutes bacterium CAG 94
